food_product,land_use_change,animal_feed,farm,processing,transport,packging,retail,total_emissions,eutrophying_emissions_1000kcal,eutrophying_emissions_kilogram,eutrophying_emissions_100gprotein,eutrophying_emissions_total,freshwater_withdrawals_1000kcal,freshwater_withdrawals_100gprotein,freshwater_withdrawals_kilogram,freshwater_withdrawals_total,greenhouse_emissions_1000kcal,greenhouse_emissions_100gprotein,greenhouse_emissions_total,land_use_1000kcal,land_use_kilogram,land_use_100gprotein,land_use_total,scarcity_weighted_water_kilogram,scarcity_weighted_water_100gprotein,scarcity_weighted_water_1000kcal,scarcity_weighted_water_total
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,5.483333333,3.29,36.55555556,45.32888889,190.8333333,1272.222222,114.5,1577.555555,1.433333333,9.555555556,10.98888889,3.216666667,1.93,21.44444444,26.59111111,661.9,7354.444444,1103.166667,9119.511111
Apples,0,0,0.2,0,0.1,0,0,0.3,3.020833333,1.45,48.33333333,52.80416666,375.2083333,6003.333333,180.1,6558.641666,0.895833333,14.33333333,15.22916666,1.3125,0.63,21,22.9425,12948.6,431620,26976.25,471544.85
Berries and Grapes,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,78.05684211,736.1403509,4196,419.6,5351.740351,2.684210526,15.3,17.98421053,4.228070175,2.41,24.1,30.73807018,21162.1,211621,37126.49123,269909.5912
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,0,4.57,0,4.57,0,0,78.9,78.9,0,0,0,0,1.78,0,1.78,1149.3,0,0,1149.3
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,0,2.43,0,2.43,0,0,153.5,153.5,0,0,0,0,0.89,0,0.89,9533.1,0,0,9533.1
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,197.3571429,110.52,138.15,446.0271429,46.25,32.375,25.9,104.525,50.94642857,35.6625,86.60892857,38.60714286,21.62,27.025,87.25214286,337,421.25,601.7857143,1360.035714
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,16.84332689,87.08,174.16,278.0833269,104.5647969,1081.2,540.6,1726.364797,9.023210832,93.3,102.3232108,13.3384913,68.96,137.92,220.2184913,2879.2,5758.4,556.9052224,9194.505222
Beef  (beef  herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,151.1584754,562.9750688,531.5750916,727.7833501,1451.2,2710.558442,36.43956044,49.88966901,86.32922945,119.4908425,326.21,163.5957874,609.2966299,34732.5,17418.50552,12722.52747,64873.53299
Beef  (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.8058608,365.29,185.0506586,684.1465194,994.2490842,1375.025329,2714.3,5083.574413,12.1978022,16.86930091,29.06710311,15.83882784,43.24,21.9047619,80.98358974,119805.2,60691.59068,43884.68864,224381.4793
Lamb and Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,176.3111082,568.7066246,900.9495252,1802.8,3272.45615,12.52996845,19.85007496,32.38004341,116.659306,369.81,184.8125937,671.2818997,141925,70927.03648,44771.29338,257623.3299
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,155.5445867,751.3807531,1109.888752,1795.8,3657.069505,5.150627615,7.60815822,12.75878584,7.263598326,17.36,10.72929543,35.35289376,66867.4,41327.19407,27977.99163,136172.5857
Poultry  Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,28.11778291,103.1421072,356.7567568,381.0623557,660,1397.819113,5.335135135,5.698614319,11.03374945,6.605405405,12.22,7.055427252,25.88083266,14177.9,8185.854503,7663.72973,30027.48423
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,17.75,10.65,32.27272727,60.67272727,1047,1903.636364,628.2,3578.836364,5.25,9.5,14.75,14.91666667,8.95,27.12121212,50.98787879,19786.3,59958.48485,32977.16667,112721.9515
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,44.55163043,168.3402351,1448.372093,2538.586957,5605.2,9592.15905,6.170542636,10.81521739,16.98576003,22.68475452,87.79,39.75996377,150.2347183,180850.6,81906.97464,46731.42119,309488.9958
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,15.11111111,21.76,19.61067051,56.48178162,401.1805556,520.6380678,577.7,1499.518623,3.243055556,4.208723864,7.45177942,4.354166667,6.27,5.650684932,16.2748516,17982.7,16206.4708,12487.98611,46677.15691
Fish  (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,469.5721526,2062.178771,1618.636264,3691.3,7372.115035,7.61452514,5.976759483,13.59128462,4.698324022,8.41,3.687787766,16.79611179,41572.2,18229.42337,23224.69274,83026.31611
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
